source,target,weight
brucetedesco,acmrecsys,1
brucetedesco,cyrushakha,1
brucetedesco,cbergman,1
iotworlds,stevebu62320601,1
stevebu62320601,acmrecsys,4
gballoccu,erishabh,1
abellogin,erishabh,1
reinforcementb,alexk_z,1
taoyeah,bpoblete,1
amazonscience,bpoblete,2
rajamifa,vanessa_murdock,1
emiliagogu,orsum_ws,1
bpoblete,amazonscience,1
bpoblete,informor,1
bpoblete,vanessa_murdock,1
novumsoft,nvidiaaidev,1
eugeneyan,orsum_ws,5
eugeneyan,emiliagogu,1
orsum_ws,emiliagogu,2
orsum_ws,eugeneyan,3
jnvinagre,emiliagogu,1
jnvinagre,tismirj,1
taoyeah,vikasnitr,1
nvsdata,akkira1020,1
filipebraida,erishabh,1
lucasvinhtran,erishabh,1
recsys_c,alansaid,1
robertnishihara,jinayoon_,1
robertnishihara,acmrecsys,1
robertnishihara,cyrushakha,1
robertnishihara,cbergman,1
erishabh,harrieoos,1
raydistributed,jinayoon_,1
raydistributed,acmrecsys,1
raydistributed,cyrushakha,1
raydistributed,cbergman,1
mirkomarras,erishabh,1
erikmschmidt,moumita_bh,1
encodedgeek,elisab79,1
encodedgeek,m_schedl,2
encodedgeek,agelesschronicl,1
kwekuoa,informor,1
anyscalecompute,jinayoon_,1
anyscalecompute,acmrecsys,1
anyscalecompute,cyrushakha,1
anyscalecompute,cbergman,1
galarnykmichael,jinayoon_,1
galarnykmichael,acmrecsys,1
galarnykmichael,cyrushakha,1
galarnykmichael,cbergman,1
narayan_avnish,jinayoon_,1
narayan_avnish,acmrecsys,1
narayan_avnish,cyrushakha,1
narayan_avnish,cbergman,1
richliaw,jinayoon_,1
richliaw,acmrecsys,1
richliaw,cyrushakha,1
richliaw,cbergman,1
gsalhagalvan,erishabh,1
blueviggen,erishabh,1
mdekstrand,erishabh,1
informusiccs,erishabh,1
informusiccs,acmrecsys,1
iadh,erishabh,1
iadh,acmrecsys,1
erishabh,acmrecsys,4
rajamifa,taoyeah,1
rajamifa,tararootcake,1
rajamifa,rburke2233,2
christine_bauer,alansaid,4
scne,dmalitesta,2
scne,vinc_papa,1
scne,sisinflab,1
corise_,erishabh,1
dmalitesta,vinc_papa,1
dmalitesta,sisinflab,1
dmalitesta,acmrecsys,3
cyrushakha,jinayoon_,1
cyrushakha,acmrecsys,1
cyrushakha,cbergman,1
acmrecsys,jinayoon_,1
acmrecsys,cyrushakha,1
acmrecsys,cbergman,1
tismirj,emiliagogu,1
reinforcementb,jinayoon_,1
reinforcementb,acmrecsys,3
reinforcementb,cyrushakha,1
reinforcementb,cbergman,1
jinayoon_,acmrecsys,1
jinayoon_,cyrushakha,1
jinayoon_,cbergman,1
jinayoon_,anyscalecompute,1
reinforcementb,seguraandres7,1
manelslokom,nvidiaaidev,1
hitarth_08,ir_glasgow,1
drch0le,tararootcake,1
drch0le,rburke2233,1
totopampin,recsys_c,2
manelslokom,recsys_c,1
godfrey_g_,anithakotti,1
workingbnb,recsys_c,1
agelesschronicl,recsys_c,1
emiliagogu,tismirj,1
emiliagogu,porcaro_lorenzo,2
emiliagogu,chatox,1
recsys_c,jkonstan,1
gsalhagalvan,deezer,1
seguraandres7,napoperez1998,2
invinc4u,agelesschronicl,1
invinc4u,m_schedl,1
elisab79,m_schedl,2
manelslokom,nvidiaai,1
encodedgeek,nvidiaai,1
lbiedma17,drch0le,1
gauravbaruah,acmrecsys,1
drch0le,mdekstrand,4
drch0le,rajamifa,3
piretship,mdekstrand,1
piretship,rajamifa,1
acmrecsys,drch0le,1
lienmichiels,alainstarke,1
lienmichiels,anneliensmets,2
encodedgeek,alexk_z,1
encodedgeek,edchi,1
reinforcementb,encodedgeek,1
encodedgeek,flipkart,1
seguraandres7,nvidiaai,1
agelesschronicl,m_schedl,2
alansaid,ivarsson_jonas,1
alansaid,informor,1
theghost3605,eugeneyan,1
drch0le,yzrulai,2
drch0le,abdiganidiriye,2
chares_chandra,rajamifa,1
chares_chandra,acmrecsys,1
acmrecsys,rajamifa,1
wajdi_bs,manelslokom,1
pcastells,manelslokom,1
manelslokom,rajamifa,4
mcwillemsen,schiphol,1
_puppywife,harrieoos,1
olivierjeunen,alexk_z,1
olivierjeunen,edchi,1
israelicomm,informor,1
helenmacdonald5,ir_glasgow,1
christine_bauer,acm_tors,1
karlhigley,alexk_z,1
karlhigley,edchi,1
vanessa_murdock,acmrecsys,1
mdekstrand,acm_tors,1
olivierjeunen,alansaid,1
olivierjeunen,kimfalk,2
justinbasilico,moumita_bh,2
totopampin,acm_tors,1
totopampin,olivierjeunen,1
aishfenton,moumita_bh,1
acm_tors,dietmarjannach,1
godfrey_g_,moumita_bh,1
olivierjeunen,vanessa_murdock,1
olivierjeunen,acmrecsys,1
pyscalellc,moumita_bh,1
moumita_bh,__sudarshan__,2
taoyeah,alansaid,1
taoyeah,kimfalk,1
taoyeah,alexk_z,1
taoyeah,edchi,1
mvlacho1,ir_glasgow,2
tjaenich,ir_glasgow,1
idaglasgow,ir_glasgow,1
terrierteam,ir_glasgow,1
_boraturan,alexk_z,1
_boraturan,edchi,1
iadh,ir_glasgow,1
alexk_z,edchi,1
asash,ir_glasgow,1
pugantsov,ir_glasgow,1
anamotaofficial,acmrecsys,1
zalmanson,informor,1
mckjoe,acmrecsys,1
hammad_khan23,ir_glasgow,1
harrieoos,julia_kiseleva,1
georgidakis,acmrecsys,1
gombru,ale_xsandra,1
gombru,shuttertech,1
totopampin,sharechatapp,1
totopampin,acmrecsys,8
soci8tyreddy_14,sharechatapp,1
soci8tyreddy_14,acmrecsys,1
julia_kiseleva,harrieoos,1
pyscalellc,cornell_tech,1
cornell_tech,informor,1
cornell_tech,cornellinfosci,1
_oliviabot,expediagroup,1
_oliviabot,acmrecsys,1
expediagroup,acmrecsys,1
sciueferrara,dmalitesta,1
dmalitesta,cikm2022,1
sarangbrahme,sharechatapp,1
sarangbrahme,acmrecsys,1
matteozio,spotifyresearch,1
engelkri,informor,1
hnmiecz,informor,1
__kkado,informor,1
marianneaubin,informor,1
mounialalmas,informor,1
hanamatatov,informor,1
johnjhorton,informor,1
informor,acmrecsys,2
informor,kanarinka,1
informor,maurice_jks,1
erishabh,sharechatapp,1
abellogin,kimfalk,1
lifeatsharechat,sharechatapp,1
lifeatsharechat,acmrecsys,1
